Recall,NFS,SU,MacroF1
-0.8802449829315568,0.14285714285714285,-0.3144507702337009,-0.8733623850278562
-0.8253238926903737,0.2857142857142857,-0.35245248243444377,-0.8459610861844465
-0.8667398187810451,0.2857142857142857,-0.6510884866236668,-0.86198850695379
-0.8173342161212671,0.42857142857142855,-0.6890901988244097,-0.8380573274398279
-0.8681875510002268,0.42857142857142855,-0.8473106192200023,-0.8646129740610713
-0.5211869849806462,0.2857142857142857,-0.12748669371701923,-0.42781996515162757
-0.6022779663868342,0.42857142857142855,-0.6595771466135779,-0.5721472060853694
-0.5216126693259271,0.5714285714285714,-0.15268938077999755,-0.42889256058444997
-0.6034585715156024,0.5714285714285714,-0.8557992792099134,-0.5740044180149729
-0.7900155625602325,0.42857142857142855,-0.5486746150307792,-0.8102575479052883
-0.521679731660367,1.0,-1.0,-0.42893323191422983
-0.7466779494597722,0.5714285714285714,-0.8640246462930696,-0.7633712505020611
0.0,0.0,0.0,0.0
-0.5532036025343994,0.14285714285714285,-0.3366377163899659,-0.5435635138593362
-0.5209245761163599,0.2857142857142857,-0.42612269790624224,-0.4271940678511424
-0.5209245761163599,0.42857142857142855,-0.7405734681399432,-0.4271940678511424
-0.5212861183639376,0.7142857142857143,-0.9747973129370215,-0.4279965274948646
